iter	Passed	Remaining
0	1	102
1	1	85
2	2	76
3	2	68
4	3	65
5	4	63
6	4	61
7	5	64
8	6	63
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	56
16	11	57
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	55
23	17	55
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	37	26
59	38	25
60	39	25
61	39	24
62	40	24
63	42	23
64	42	23
65	43	22
66	44	21
67	45	21
68	47	21
69	48	20
70	49	20
71	49	19
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
